{'iter_num': 30000, 'train_batch_size': 10, 'lr': 0.001, 'lr_step': 6700, 'lr_decay': 10, 'weight_decay': 0.0001, 'momentum': 0.9, 'last_iter': 0}

[iter 1], [train loss 8.20367], [loss0 0.73827], [lr 0.0010000000000]
[iter 2], [train loss 8.15066], [loss0 0.73632], [lr 0.0010000000000]
[iter 3], [train loss 8.12653], [loss0 0.73461], [lr 0.0010000000000]
[iter 4], [train loss 8.28625], [loss0 0.72637], [lr 0.0010000000000]
[iter 5], [train loss 8.33850], [loss0 0.71704], [lr 0.0010000000000]
[iter 6], [train loss 8.38800], [loss0 0.70384], [lr 0.0010000000000]
[iter 7], [train loss 8.31902], [loss0 0.69245], [lr 0.0010000000000]
[iter 8], [train loss 8.20210], [loss0 0.68457], [lr 0.0010000000000]
[iter 9], [train loss 8.07320], [loss0 0.67774], [lr 0.0010000000000]
[iter 10], [train loss 8.03158], [loss0 0.66347], [lr 0.0010000000000]
[iter 11], [train loss 7.97570], [loss0 0.65240], [lr 0.0010000000000]
[iter 12], [train loss 7.94708], [loss0 0.63960], [lr 0.0010000000000]
[iter 13], [train loss 7.90633], [loss0 0.62679], [lr 0.0010000000000]
[iter 14], [train loss 7.86000], [loss0 0.61522], [lr 0.0010000000000]
[iter 15], [train loss 7.77075], [loss0 0.61256], [lr 0.0010000000000]
[iter 16], [train loss 7.73497], [loss0 0.60111], [lr 0.0010000000000]
[iter 17], [train loss 7.70281], [loss0 0.58955], [lr 0.0010000000000]
[iter 18], [train loss 7.67141], [loss0 0.57661], [lr 0.0010000000000]
[iter 19], [train loss 7.64272], [loss0 0.56482], [lr 0.0010000000000]
[iter 20], [train loss 7.61706], [loss0 0.55480], [lr 0.0010000000000]
[iter 21], [train loss 7.57717], [loss0 0.55079], [lr 0.0010000000000]
[iter 22], [train loss 7.53249], [loss0 0.55225], [lr 0.0010000000000]
[iter 23], [train loss 7.51869], [loss0 0.53894], [lr 0.0010000000000]
[iter 24], [train loss 7.48843], [loss0 0.53145], [lr 0.0010000000000]
[iter 25], [train loss 7.46153], [loss0 0.52389], [lr 0.0010000000000]
[iter 26], [train loss 7.44778], [loss0 0.51153], [lr 0.0010000000000]
[iter 27], [train loss 7.41010], [loss0 0.50774], [lr 0.0010000000000]
[iter 28], [train loss 7.38853], [loss0 0.49867], [lr 0.0010000000000]
[iter 29], [train loss 7.35804], [loss0 0.49166], [lr 0.0010000000000]
[iter 30], [train loss 7.33629], [loss0 0.48313], [lr 0.0010000000000]
[iter 31], [train loss 7.31173], [loss0 0.47802], [lr 0.0010000000000]
[iter 32], [train loss 7.29041], [loss0 0.47765], [lr 0.0010000000000]
[iter 33], [train loss 7.27432], [loss0 0.46823], [lr 0.0010000000000]
[iter 34], [train loss 7.24934], [loss0 0.46424], [lr 0.0010000000000]
[iter 35], [train loss 7.22384], [loss0 0.45833], [lr 0.0010000000000]
[iter 36], [train loss 7.20826], [loss0 0.45270], [lr 0.0010000000000]
[iter 37], [train loss 7.18306], [loss0 0.44819], [lr 0.0010000000000]
[iter 38], [train loss 7.15410], [loss0 0.44540], [lr 0.0010000000000]
[iter 39], [train loss 7.13080], [loss0 0.44167], [lr 0.0010000000000]
[iter 40], [train loss 7.11863], [loss0 0.45070], [lr 0.0010000000000]
[iter 41], [train loss 7.09355], [loss0 0.44960], [lr 0.0010000000000]
