{'iter_num': 30000, 'train_batch_size': 10, 'lr': 0.001, 'lr_step': 6700, 'lr_decay': 10, 'weight_decay': 0.0001, 'momentum': 0.9, 'last_iter': 0}

[iter 1], [train loss 8.56228], [loss0 1.11503], [lr 0.0010000000000]
[iter 2], [train loss 8.93663], [loss0 1.12845], [lr 0.0010000000000]
[iter 3], [train loss 8.74000], [loss0 1.10326], [lr 0.0010000000000]
[iter 4], [train loss 8.82449], [loss0 1.09607], [lr 0.0010000000000]
[iter 5], [train loss 8.73795], [loss0 1.07162], [lr 0.0010000000000]
[iter 6], [train loss 8.65300], [loss0 1.04484], [lr 0.0010000000000]
[iter 7], [train loss 8.66078], [loss0 1.02278], [lr 0.0010000000000]
[iter 8], [train loss 8.49636], [loss0 0.99195], [lr 0.0010000000000]
[iter 9], [train loss 8.45693], [loss0 0.96583], [lr 0.0010000000000]
[iter 10], [train loss 8.42873], [loss0 0.93949], [lr 0.0010000000000]
[iter 11], [train loss 8.38734], [loss0 0.91306], [lr 0.0010000000000]
[iter 12], [train loss 8.32037], [loss0 0.88784], [lr 0.0010000000000]
[iter 13], [train loss 8.30548], [loss0 0.86062], [lr 0.0010000000000]
[iter 14], [train loss 8.28327], [loss0 0.83353], [lr 0.0010000000000]
[iter 15], [train loss 8.21341], [loss0 0.80991], [lr 0.0010000000000]
[iter 16], [train loss 8.14705], [loss0 0.78811], [lr 0.0010000000000]
[iter 17], [train loss 8.07465], [loss0 0.76996], [lr 0.0010000000000]
[iter 18], [train loss 8.00753], [loss0 0.75378], [lr 0.0010000000000]
[iter 19], [train loss 7.97189], [loss0 0.73069], [lr 0.0010000000000]
[iter 20], [train loss 7.91844], [loss0 0.71348], [lr 0.0010000000000]
[iter 21], [train loss 7.87915], [loss0 0.69353], [lr 0.0010000000000]
[iter 22], [train loss 7.83266], [loss0 0.67848], [lr 0.0010000000000]
[iter 23], [train loss 7.78431], [loss0 0.67618], [lr 0.0010000000000]
[iter 24], [train loss 7.74763], [loss0 0.66242], [lr 0.0010000000000]
[iter 25], [train loss 7.69977], [loss0 0.65534], [lr 0.0010000000000]
[iter 26], [train loss 7.65713], [loss0 0.64619], [lr 0.0010000000000]
[iter 27], [train loss 7.62752], [loss0 0.63035], [lr 0.0010000000000]
[iter 28], [train loss 7.59309], [loss0 0.61829], [lr 0.0010000000000]
[iter 29], [train loss 7.55431], [loss0 0.61026], [lr 0.0010000000000]
[iter 30], [train loss 7.52786], [loss0 0.60541], [lr 0.0010000000000]
[iter 31], [train loss 7.50012], [loss0 0.59876], [lr 0.0010000000000]
[iter 32], [train loss 7.47566], [loss0 0.58614], [lr 0.0010000000000]
[iter 33], [train loss 7.44925], [loss0 0.57328], [lr 0.0010000000000]
[iter 34], [train loss 7.42585], [loss0 0.57311], [lr 0.0010000000000]
[iter 35], [train loss 7.39409], [loss0 0.56510], [lr 0.0010000000000]
[iter 36], [train loss 7.36607], [loss0 0.55583], [lr 0.0010000000000]
[iter 37], [train loss 7.34441], [loss0 0.54867], [lr 0.0010000000000]
[iter 38], [train loss 7.32007], [loss0 0.54051], [lr 0.0010000000000]
[iter 39], [train loss 7.30058], [loss0 0.53514], [lr 0.0010000000000]
[iter 40], [train loss 7.27727], [loss0 0.52661], [lr 0.0010000000000]
[iter 41], [train loss 7.25430], [loss0 0.52116], [lr 0.0010000000000]
[iter 42], [train loss 7.23188], [loss0 0.51379], [lr 0.0010000000000]
[iter 43], [train loss 7.20881], [loss0 0.50924], [lr 0.0010000000000]
[iter 44], [train loss 7.18933], [loss0 0.50410], [lr 0.0010000000000]
[iter 45], [train loss 7.18450], [loss0 0.50577], [lr 0.0010000000000]
[iter 46], [train loss 7.17490], [loss0 0.50631], [lr 0.0010000000000]
[iter 47], [train loss 7.15546], [loss0 0.50056], [lr 0.0010000000000]
[iter 48], [train loss 7.13647], [loss0 0.49505], [lr 0.0010000000000]
[iter 49], [train loss 7.11778], [loss0 0.48823], [lr 0.0010000000000]
[iter 50], [train loss 7.10145], [loss0 0.48126], [lr 0.0010000000000]
[iter 51], [train loss 7.08631], [loss0 0.47492], [lr 0.0010000000000]
[iter 52], [train loss 7.06870], [loss0 0.47071], [lr 0.0010000000000]
[iter 53], [train loss 7.05173], [loss0 0.46478], [lr 0.0010000000000]
[iter 54], [train loss 7.03595], [loss0 0.46116], [lr 0.0010000000000]
[iter 55], [train loss 7.04194], [loss0 0.46441], [lr 0.0010000000000]
[iter 56], [train loss 7.02834], [loss0 0.46254], [lr 0.0010000000000]
[iter 57], [train loss 7.01257], [loss0 0.45803], [lr 0.0010000000000]
[iter 58], [train loss 7.00054], [loss0 0.45716], [lr 0.0010000000000]
[iter 59], [train loss 6.98655], [loss0 0.45254], [lr 0.0010000000000]
[iter 60], [train loss 6.97182], [loss0 0.44821], [lr 0.0010000000000]
[iter 61], [train loss 6.96231], [loss0 0.44720], [lr 0.0010000000000]
[iter 62], [train loss 6.95026], [loss0 0.44385], [lr 0.0010000000000]
[iter 63], [train loss 6.93527], [loss0 0.44090], [lr 0.0010000000000]
