{'iter_num': 30000, 'train_batch_size': 4, 'lr': 0.001, 'lr_step': 6700, 'lr_decay': 10, 'weight_decay': 0.0001, 'momentum': 0.9, 'last_iter': 0}

[iter 1], [train loss 7.60627], [loss0 0.77394], [lr 0.0010000000000]
[iter 2], [train loss 7.52988], [loss0 0.76722], [lr 0.0010000000000]
[iter 3], [train loss 7.78886], [loss0 0.78000], [lr 0.0010000000000]
[iter 4], [train loss 7.98738], [loss0 0.77965], [lr 0.0010000000000]
[iter 5], [train loss 7.82048], [loss0 0.77661], [lr 0.0010000000000]
[iter 6], [train loss 7.84205], [loss0 0.76963], [lr 0.0010000000000]
[iter 7], [train loss 7.84574], [loss0 0.75918], [lr 0.0010000000000]
[iter 8], [train loss 7.85746], [loss0 0.74799], [lr 0.0010000000000]
[iter 9], [train loss 7.88168], [loss0 0.73575], [lr 0.0010000000000]
[iter 10], [train loss 7.79428], [loss0 0.72462], [lr 0.0010000000000]
[iter 11], [train loss 7.74064], [loss0 0.71222], [lr 0.0010000000000]
[iter 12], [train loss 7.74643], [loss0 0.69651], [lr 0.0010000000000]
[iter 13], [train loss 7.74812], [loss0 0.67926], [lr 0.0010000000000]
[iter 14], [train loss 7.74796], [loss0 0.66183], [lr 0.0010000000000]
[iter 15], [train loss 7.72967], [loss0 0.64733], [lr 0.0010000000000]
[iter 16], [train loss 7.70816], [loss0 0.63232], [lr 0.0010000000000]
[iter 17], [train loss 7.68996], [loss0 0.61625], [lr 0.0010000000000]
[iter 18], [train loss 7.66658], [loss0 0.60168], [lr 0.0010000000000]
[iter 19], [train loss 7.64943], [loss0 0.58632], [lr 0.0010000000000]
[iter 20], [train loss 7.59534], [loss0 0.59254], [lr 0.0010000000000]
[iter 21], [train loss 7.56749], [loss0 0.59148], [lr 0.0010000000000]
[iter 22], [train loss 7.52207], [loss0 0.58956], [lr 0.0010000000000]
[iter 23], [train loss 7.49056], [loss0 0.57881], [lr 0.0010000000000]
[iter 24], [train loss 7.46256], [loss0 0.58829], [lr 0.0010000000000]
[iter 25], [train loss 7.42265], [loss0 0.58046], [lr 0.0010000000000]
[iter 26], [train loss 7.39875], [loss0 0.56853], [lr 0.0010000000000]
[iter 27], [train loss 7.37994], [loss0 0.55573], [lr 0.0010000000000]
[iter 28], [train loss 7.36175], [loss0 0.54394], [lr 0.0010000000000]
[iter 29], [train loss 7.33735], [loss0 0.53456], [lr 0.0010000000000]
[iter 30], [train loss 7.30771], [loss0 0.52812], [lr 0.0010000000000]
[iter 31], [train loss 7.28362], [loss0 0.52182], [lr 0.0010000000000]
[iter 32], [train loss 7.25946], [loss0 0.51574], [lr 0.0010000000000]
[iter 33], [train loss 7.23438], [loss0 0.50929], [lr 0.0010000000000]
[iter 34], [train loss 7.21180], [loss0 0.50179], [lr 0.0010000000000]
[iter 35], [train loss 7.18910], [loss0 0.49925], [lr 0.0010000000000]
[iter 36], [train loss 7.17828], [loss0 0.49704], [lr 0.0010000000000]
[iter 37], [train loss 7.15901], [loss0 0.49772], [lr 0.0010000000000]
[iter 38], [train loss 7.14002], [loss0 0.48975], [lr 0.0010000000000]
[iter 39], [train loss 7.11689], [loss0 0.48337], [lr 0.0010000000000]
[iter 40], [train loss 7.09064], [loss0 0.47778], [lr 0.0010000000000]
[iter 41], [train loss 7.07052], [loss0 0.47327], [lr 0.0010000000000]
[iter 42], [train loss 7.05670], [loss0 0.46600], [lr 0.0010000000000]
[iter 43], [train loss 7.03416], [loss0 0.46152], [lr 0.0010000000000]
[iter 44], [train loss 7.01071], [loss0 0.45923], [lr 0.0010000000000]
