{'iter_num': 15000, 'train_batch_size': 10, 'lr': 0.001, 'lr_step': 6700, 'lr_decay': 10, 'weight_decay': 0.0001, 'momentum': 0.9, 'last_iter': 0}

[iter 80], [train loss 6.77766], [loss0 0.43606], [lr 0.0010000000000]
[iter 81], [train loss 6.76664], [loss0 0.43256], [lr 0.0010000000000]
[iter 82], [train loss 6.75820], [loss0 0.43025], [lr 0.0010000000000]
[iter 83], [train loss 6.74753], [loss0 0.42666], [lr 0.0010000000000]
[iter 84], [train loss 6.73796], [loss0 0.42445], [lr 0.0010000000000]
[iter 85], [train loss 6.72749], [loss0 0.42103], [lr 0.0010000000000]
[iter 86], [train loss 6.71681], [loss0 0.41818], [lr 0.0010000000000]
[iter 87], [train loss 6.71890], [loss0 0.41971], [lr 0.0010000000000]
[iter 88], [train loss 6.70857], [loss0 0.41673], [lr 0.0010000000000]
[iter 89], [train loss 6.69864], [loss0 0.41393], [lr 0.0010000000000]
[iter 90], [train loss 6.68899], [loss0 0.41085], [lr 0.0010000000000]
[iter 91], [train loss 6.68060], [loss0 0.40869], [lr 0.0010000000000]
[iter 92], [train loss 6.67153], [loss0 0.40620], [lr 0.0010000000000]
[iter 93], [train loss 6.66326], [loss0 0.40373], [lr 0.0010000000000]
[iter 94], [train loss 6.65484], [loss0 0.40184], [lr 0.0010000000000]
[iter 95], [train loss 6.64536], [loss0 0.39906], [lr 0.0010000000000]
[iter 96], [train loss 6.63598], [loss0 0.39643], [lr 0.0010000000000]
[iter 97], [train loss 6.62735], [loss0 0.39422], [lr 0.0010000000000]
[iter 98], [train loss 6.61855], [loss0 0.39140], [lr 0.0010000000000]
[iter 99], [train loss 6.60947], [loss0 0.38880], [lr 0.0010000000000]
[iter 100], [train loss 6.60469], [loss0 0.38774], [lr 0.0010000000000]
[iter 101], [train loss 6.60378], [loss0 0.38766], [lr 0.0010000000000]
[iter 102], [train loss 6.59549], [loss0 0.38514], [lr 0.0010000000000]
[iter 103], [train loss 6.58685], [loss0 0.38288], [lr 0.0010000000000]
[iter 104], [train loss 6.58126], [loss0 0.38145], [lr 0.0010000000000]
[iter 105], [train loss 6.57275], [loss0 0.37928], [lr 0.0010000000000]
[iter 106], [train loss 6.56998], [loss0 0.37874], [lr 0.0010000000000]
[iter 107], [train loss 6.56276], [loss0 0.37731], [lr 0.0010000000000]
[iter 108], [train loss 6.55926], [loss0 0.37657], [lr 0.0010000000000]
[iter 109], [train loss 6.55510], [loss0 0.37524], [lr 0.0010000000000]
[iter 110], [train loss 6.54743], [loss0 0.37298], [lr 0.0010000000000]
[iter 111], [train loss 6.54685], [loss0 0.37300], [lr 0.0010000000000]
[iter 112], [train loss 6.54336], [loss0 0.37205], [lr 0.0010000000000]
[iter 113], [train loss 6.54592], [loss0 0.37261], [lr 0.0010000000000]
[iter 114], [train loss 6.54070], [loss0 0.37117], [lr 0.0010000000000]
[iter 115], [train loss 6.53351], [loss0 0.36906], [lr 0.0010000000000]
[iter 116], [train loss 6.52706], [loss0 0.36742], [lr 0.0010000000000]
