{'iter_num': 30000, 'train_batch_size': 4, 'lr': 0.001, 'lr_step': 6700, 'lr_decay': 10, 'weight_decay': 0.0001, 'momentum': 0.9, 'last_iter': 0}

[iter 1], [train loss 9.78625], [loss0 1.46124], [lr 0.0010000000000]
[iter 2], [train loss 9.79239], [loss0 1.44964], [lr 0.0010000000000]
[iter 3], [train loss 9.36982], [loss0 1.38387], [lr 0.0010000000000]
[iter 4], [train loss 9.21007], [loss0 1.34696], [lr 0.0010000000000]
[iter 5], [train loss 9.08801], [loss0 1.31694], [lr 0.0010000000000]
[iter 6], [train loss 9.10178], [loss0 1.29269], [lr 0.0010000000000]
[iter 7], [train loss 9.10349], [loss0 1.26472], [lr 0.0010000000000]
[iter 8], [train loss 9.09652], [loss0 1.23376], [lr 0.0010000000000]
[iter 9], [train loss 9.07333], [loss0 1.19898], [lr 0.0010000000000]
[iter 10], [train loss 8.94891], [loss0 1.15986], [lr 0.0010000000000]
[iter 11], [train loss 8.73210], [loss0 1.12300], [lr 0.0010000000000]
[iter 12], [train loss 8.69539], [loss0 1.08663], [lr 0.0010000000000]
[iter 13], [train loss 8.59696], [loss0 1.05292], [lr 0.0010000000000]
[iter 14], [train loss 8.48158], [loss0 1.02199], [lr 0.0010000000000]
[iter 15], [train loss 8.42874], [loss0 0.98852], [lr 0.0010000000000]
[iter 16], [train loss 8.38255], [loss0 0.95586], [lr 0.0010000000000]
[iter 17], [train loss 8.34324], [loss0 0.92393], [lr 0.0010000000000]
[iter 18], [train loss 8.26058], [loss0 0.90479], [lr 0.0010000000000]
[iter 19], [train loss 8.20358], [loss0 0.87999], [lr 0.0010000000000]
[iter 20], [train loss 8.13999], [loss0 0.85702], [lr 0.0010000000000]
[iter 21], [train loss 8.10428], [loss0 0.82999], [lr 0.0010000000000]
[iter 22], [train loss 8.05612], [loss0 0.80717], [lr 0.0010000000000]
[iter 23], [train loss 8.01675], [loss0 0.78378], [lr 0.0010000000000]
[iter 24], [train loss 7.96616], [loss0 0.76558], [lr 0.0010000000000]
[iter 25], [train loss 7.91657], [loss0 0.74767], [lr 0.0010000000000]
[iter 26], [train loss 7.87973], [loss0 0.72803], [lr 0.0010000000000]
[iter 27], [train loss 7.84226], [loss0 0.71053], [lr 0.0010000000000]
[iter 28], [train loss 7.80498], [loss0 0.69407], [lr 0.0010000000000]
[iter 29], [train loss 7.76768], [loss0 0.67900], [lr 0.0010000000000]
[iter 30], [train loss 7.73312], [loss0 0.66377], [lr 0.0010000000000]
[iter 31], [train loss 7.70079], [loss0 0.64760], [lr 0.0010000000000]
[iter 32], [train loss 7.66257], [loss0 0.64479], [lr 0.0010000000000]
[iter 33], [train loss 7.62735], [loss0 0.63167], [lr 0.0010000000000]
[iter 34], [train loss 7.59096], [loss0 0.62737], [lr 0.0010000000000]
[iter 35], [train loss 7.56292], [loss0 0.61546], [lr 0.0010000000000]
[iter 36], [train loss 7.53031], [loss0 0.60416], [lr 0.0010000000000]
[iter 37], [train loss 7.50363], [loss0 0.59104], [lr 0.0010000000000]
[iter 38], [train loss 7.47267], [loss0 0.58020], [lr 0.0010000000000]
[iter 39], [train loss 7.44424], [loss0 0.57125], [lr 0.0010000000000]
[iter 40], [train loss 7.41713], [loss0 0.56300], [lr 0.0010000000000]
[iter 41], [train loss 7.39173], [loss0 0.55758], [lr 0.0010000000000]
[iter 42], [train loss 7.38311], [loss0 0.56413], [lr 0.0010000000000]
[iter 43], [train loss 7.35643], [loss0 0.55575], [lr 0.0010000000000]
[iter 44], [train loss 7.33246], [loss0 0.55431], [lr 0.0010000000000]
[iter 45], [train loss 7.30826], [loss0 0.54586], [lr 0.0010000000000]
[iter 46], [train loss 7.28693], [loss0 0.54068], [lr 0.0010000000000]
[iter 47], [train loss 7.26619], [loss0 0.53866], [lr 0.0010000000000]
[iter 48], [train loss 7.24140], [loss0 0.53236], [lr 0.0010000000000]
[iter 49], [train loss 7.21619], [loss0 0.52814], [lr 0.0010000000000]
