{'iter_num': 30000, 'train_batch_size': 10, 'lr': 0.001, 'lr_step': 6700, 'lr_decay': 10, 'weight_decay': 0.0001, 'momentum': 0.9, 'last_iter': 0}

[iter 1], [train loss 7.50428], [loss0 0.89826], [lr 0.0010000000000]
[iter 2], [train loss 8.21892], [loss0 0.92140], [lr 0.0010000000000]
[iter 3], [train loss 8.12943], [loss0 0.90838], [lr 0.0010000000000]
[iter 4], [train loss 8.31927], [loss0 0.90494], [lr 0.0010000000000]
[iter 5], [train loss 8.24605], [loss0 0.89187], [lr 0.0010000000000]
[iter 6], [train loss 8.27448], [loss0 0.87727], [lr 0.0010000000000]
[iter 7], [train loss 8.18669], [loss0 0.85877], [lr 0.0010000000000]
[iter 8], [train loss 8.20279], [loss0 0.83970], [lr 0.0010000000000]
[iter 9], [train loss 8.14933], [loss0 0.82214], [lr 0.0010000000000]
[iter 10], [train loss 8.15405], [loss0 0.80151], [lr 0.0010000000000]
[iter 11], [train loss 8.08821], [loss0 0.78285], [lr 0.0010000000000]
[iter 12], [train loss 8.06631], [loss0 0.76077], [lr 0.0010000000000]
[iter 13], [train loss 8.04146], [loss0 0.73920], [lr 0.0010000000000]
[iter 14], [train loss 8.01775], [loss0 0.71764], [lr 0.0010000000000]
[iter 15], [train loss 7.97548], [loss0 0.69825], [lr 0.0010000000000]
[iter 16], [train loss 7.94699], [loss0 0.67749], [lr 0.0010000000000]
[iter 17], [train loss 7.89879], [loss0 0.66132], [lr 0.0010000000000]
[iter 18], [train loss 7.86762], [loss0 0.64188], [lr 0.0010000000000]
[iter 19], [train loss 7.82455], [loss0 0.62633], [lr 0.0010000000000]
[iter 20], [train loss 7.78864], [loss0 0.60899], [lr 0.0010000000000]
[iter 21], [train loss 7.74771], [loss0 0.59829], [lr 0.0010000000000]
[iter 22], [train loss 7.71366], [loss0 0.58229], [lr 0.0010000000000]
[iter 23], [train loss 7.67872], [loss0 0.56912], [lr 0.0010000000000]
[iter 24], [train loss 7.64264], [loss0 0.55838], [lr 0.0010000000000]
[iter 25], [train loss 7.61062], [loss0 0.54333], [lr 0.0010000000000]
[iter 26], [train loss 7.58027], [loss0 0.53008], [lr 0.0010000000000]
[iter 27], [train loss 7.55285], [loss0 0.53584], [lr 0.0010000000000]
[iter 28], [train loss 7.51923], [loss0 0.52843], [lr 0.0010000000000]
[iter 29], [train loss 7.48993], [loss0 0.51573], [lr 0.0010000000000]
[iter 30], [train loss 7.45708], [loss0 0.50525], [lr 0.0010000000000]
[iter 31], [train loss 7.42275], [loss0 0.49706], [lr 0.0010000000000]
[iter 32], [train loss 7.40329], [loss0 0.49914], [lr 0.0010000000000]
[iter 33], [train loss 7.37377], [loss0 0.48999], [lr 0.0010000000000]
[iter 34], [train loss 7.34551], [loss0 0.48322], [lr 0.0010000000000]
[iter 35], [train loss 7.31685], [loss0 0.47402], [lr 0.0010000000000]
[iter 36], [train loss 7.31262], [loss0 0.47866], [lr 0.0010000000000]
[iter 37], [train loss 7.28674], [loss0 0.47091], [lr 0.0010000000000]
[iter 38], [train loss 7.26403], [loss0 0.46672], [lr 0.0010000000000]
[iter 39], [train loss 7.24045], [loss0 0.46166], [lr 0.0010000000000]
[iter 40], [train loss 7.21715], [loss0 0.45657], [lr 0.0010000000000]
[iter 41], [train loss 7.20932], [loss0 0.46288], [lr 0.0010000000000]
[iter 42], [train loss 7.18679], [loss0 0.45756], [lr 0.0010000000000]
[iter 43], [train loss 7.16402], [loss0 0.45035], [lr 0.0010000000000]
[iter 44], [train loss 7.14012], [loss0 0.44674], [lr 0.0010000000000]
