{'iter_num': 30000, 'train_batch_size': 10, 'lr': 0.001, 'lr_step': 6700, 'lr_decay': 10, 'weight_decay': 0.0001, 'momentum': 0.9, 'last_iter': 0}

[iter 1], [train loss 8.91249], [loss0 1.11816], [lr 0.0010000000000]
[iter 2], [train loss 8.66825], [loss0 1.08319], [lr 0.0010000000000]
[iter 3], [train loss 8.51434], [loss0 1.06366], [lr 0.0010000000000]
[iter 4], [train loss 8.65995], [loss0 1.06361], [lr 0.0010000000000]
[iter 5], [train loss 8.59377], [loss0 1.04051], [lr 0.0010000000000]
[iter 6], [train loss 8.46739], [loss0 1.01405], [lr 0.0010000000000]
[iter 7], [train loss 8.52109], [loss0 0.99691], [lr 0.0010000000000]
[iter 8], [train loss 8.43660], [loss0 0.97280], [lr 0.0010000000000]
[iter 9], [train loss 8.42008], [loss0 0.94940], [lr 0.0010000000000]
[iter 10], [train loss 8.31995], [loss0 0.92495], [lr 0.0010000000000]
[iter 11], [train loss 8.29827], [loss0 0.89935], [lr 0.0010000000000]
[iter 12], [train loss 8.28954], [loss0 0.87255], [lr 0.0010000000000]
[iter 13], [train loss 8.21722], [loss0 0.84905], [lr 0.0010000000000]
[iter 14], [train loss 8.19662], [loss0 0.82196], [lr 0.0010000000000]
[iter 15], [train loss 8.14310], [loss0 0.79826], [lr 0.0010000000000]
[iter 16], [train loss 8.06867], [loss0 0.77997], [lr 0.0010000000000]
[iter 17], [train loss 7.98333], [loss0 0.77249], [lr 0.0010000000000]
[iter 18], [train loss 7.95204], [loss0 0.74832], [lr 0.0010000000000]
[iter 19], [train loss 7.92068], [loss0 0.72609], [lr 0.0010000000000]
[iter 20], [train loss 7.87646], [loss0 0.70901], [lr 0.0010000000000]
[iter 21], [train loss 7.83884], [loss0 0.69094], [lr 0.0010000000000]
[iter 22], [train loss 7.80497], [loss0 0.67337], [lr 0.0010000000000]
[iter 23], [train loss 7.75817], [loss0 0.65917], [lr 0.0010000000000]
[iter 24], [train loss 7.72332], [loss0 0.64267], [lr 0.0010000000000]
[iter 25], [train loss 7.67875], [loss0 0.63018], [lr 0.0010000000000]
