{'iter_num': 30000, 'train_batch_size': 10, 'lr': 0.001, 'lr_step': 6700, 'lr_decay': 10, 'weight_decay': 0.0001, 'momentum': 0.9, 'last_iter': 0}

[iter 1], [train loss 9.10477], [loss0 0.81994], [lr 0.0010000000000]
[iter 2], [train loss 8.03736], [loss0 0.78570], [lr 0.0010000000000]
[iter 3], [train loss 8.45575], [loss0 0.79001], [lr 0.0010000000000]
[iter 4], [train loss 8.59163], [loss0 0.78760], [lr 0.0010000000000]
[iter 5], [train loss 8.43629], [loss0 0.77792], [lr 0.0010000000000]
[iter 6], [train loss 8.38789], [loss0 0.76826], [lr 0.0010000000000]
[iter 7], [train loss 8.29687], [loss0 0.76009], [lr 0.0010000000000]
[iter 8], [train loss 8.20559], [loss0 0.74954], [lr 0.0010000000000]
[iter 9], [train loss 8.04471], [loss0 0.74719], [lr 0.0010000000000]
[iter 10], [train loss 8.10956], [loss0 0.72998], [lr 0.0010000000000]
[iter 11], [train loss 8.07364], [loss0 0.71593], [lr 0.0010000000000]
[iter 12], [train loss 8.06362], [loss0 0.70078], [lr 0.0010000000000]
[iter 13], [train loss 8.03895], [loss0 0.68661], [lr 0.0010000000000]
[iter 14], [train loss 7.94909], [loss0 0.68384], [lr 0.0010000000000]
[iter 15], [train loss 7.94883], [loss0 0.66739], [lr 0.0010000000000]
[iter 16], [train loss 7.95408], [loss0 0.65029], [lr 0.0010000000000]
[iter 17], [train loss 7.94867], [loss0 0.63403], [lr 0.0010000000000]
[iter 18], [train loss 7.90113], [loss0 0.62645], [lr 0.0010000000000]
[iter 19], [train loss 7.87980], [loss0 0.61390], [lr 0.0010000000000]
[iter 20], [train loss 7.82412], [loss0 0.60643], [lr 0.0010000000000]
[iter 21], [train loss 7.81332], [loss0 0.59120], [lr 0.0010000000000]
[iter 22], [train loss 7.77619], [loss0 0.58664], [lr 0.0010000000000]
[iter 23], [train loss 7.75718], [loss0 0.57265], [lr 0.0010000000000]
[iter 24], [train loss 7.73044], [loss0 0.56097], [lr 0.0010000000000]
[iter 25], [train loss 7.71017], [loss0 0.54878], [lr 0.0010000000000]
[iter 26], [train loss 7.68202], [loss0 0.53944], [lr 0.0010000000000]
[iter 27], [train loss 7.65025], [loss0 0.52983], [lr 0.0010000000000]
[iter 28], [train loss 7.61764], [loss0 0.52070], [lr 0.0010000000000]
[iter 29], [train loss 7.59029], [loss0 0.51278], [lr 0.0010000000000]
[iter 30], [train loss 7.55918], [loss0 0.50531], [lr 0.0010000000000]
[iter 31], [train loss 7.53934], [loss0 0.49421], [lr 0.0010000000000]
[iter 32], [train loss 7.50904], [loss0 0.49627], [lr 0.0010000000000]
[iter 33], [train loss 7.48269], [loss0 0.49624], [lr 0.0010000000000]
[iter 34], [train loss 7.46061], [loss0 0.48665], [lr 0.0010000000000]
[iter 35], [train loss 7.42635], [loss0 0.48429], [lr 0.0010000000000]
[iter 36], [train loss 7.39736], [loss0 0.48203], [lr 0.0010000000000]
[iter 37], [train loss 7.37043], [loss0 0.47690], [lr 0.0010000000000]
[iter 38], [train loss 7.34969], [loss0 0.46956], [lr 0.0010000000000]
[iter 39], [train loss 7.32332], [loss0 0.46554], [lr 0.0010000000000]
[iter 40], [train loss 7.30425], [loss0 0.46070], [lr 0.0010000000000]
[iter 41], [train loss 7.28092], [loss0 0.45430], [lr 0.0010000000000]
[iter 42], [train loss 7.25400], [loss0 0.45102], [lr 0.0010000000000]
[iter 43], [train loss 7.22434], [loss0 0.44999], [lr 0.0010000000000]
[iter 44], [train loss 7.20871], [loss0 0.44289], [lr 0.0010000000000]
[iter 45], [train loss 7.19434], [loss0 0.44243], [lr 0.0010000000000]
[iter 46], [train loss 7.16837], [loss0 0.43826], [lr 0.0010000000000]
[iter 47], [train loss 7.14846], [loss0 0.43415], [lr 0.0010000000000]
[iter 48], [train loss 7.12860], [loss0 0.43097], [lr 0.0010000000000]
[iter 49], [train loss 7.10687], [loss0 0.42644], [lr 0.0010000000000]
[iter 50], [train loss 7.09108], [loss0 0.42269], [lr 0.0010000000000]
[iter 51], [train loss 7.07503], [loss0 0.41755], [lr 0.0010000000000]
[iter 52], [train loss 7.05523], [loss0 0.41413], [lr 0.0010000000000]
[iter 53], [train loss 7.04649], [loss0 0.41357], [lr 0.0010000000000]
[iter 54], [train loss 7.03354], [loss0 0.41269], [lr 0.0010000000000]
[iter 55], [train loss 7.01988], [loss0 0.40786], [lr 0.0010000000000]
[iter 56], [train loss 6.99959], [loss0 0.40581], [lr 0.0010000000000]
[iter 57], [train loss 6.98676], [loss0 0.40121], [lr 0.0010000000000]
[iter 58], [train loss 6.97354], [loss0 0.40005], [lr 0.0010000000000]
[iter 59], [train loss 6.95357], [loss0 0.39670], [lr 0.0010000000000]
[iter 60], [train loss 6.93297], [loss0 0.39417], [lr 0.0010000000000]
[iter 61], [train loss 6.91166], [loss0 0.39047], [lr 0.0010000000000]
[iter 62], [train loss 6.90570], [loss0 0.39216], [lr 0.0010000000000]
[iter 63], [train loss 6.89199], [loss0 0.39088], [lr 0.0010000000000]
[iter 64], [train loss 6.87923], [loss0 0.38744], [lr 0.0010000000000]
[iter 65], [train loss 6.86438], [loss0 0.38380], [lr 0.0010000000000]
[iter 66], [train loss 6.84762], [loss0 0.38078], [lr 0.0010000000000]
[iter 67], [train loss 6.82460], [loss0 0.37840], [lr 0.0010000000000]
[iter 68], [train loss 6.80951], [loss0 0.37595], [lr 0.0010000000000]
[iter 69], [train loss 6.78798], [loss0 0.37331], [lr 0.0010000000000]
[iter 70], [train loss 6.76996], [loss0 0.37011], [lr 0.0010000000000]
[iter 71], [train loss 6.76000], [loss0 0.36775], [lr 0.0010000000000]
[iter 72], [train loss 6.74298], [loss0 0.36581], [lr 0.0010000000000]
[iter 73], [train loss 6.72400], [loss0 0.36341], [lr 0.0010000000000]
[iter 74], [train loss 6.71039], [loss0 0.36138], [lr 0.0010000000000]
[iter 75], [train loss 6.69559], [loss0 0.35862], [lr 0.0010000000000]
[iter 76], [train loss 6.68409], [loss0 0.35613], [lr 0.0010000000000]
[iter 77], [train loss 6.66675], [loss0 0.35455], [lr 0.0010000000000]
[iter 78], [train loss 6.66038], [loss0 0.35278], [lr 0.0010000000000]
[iter 79], [train loss 6.64046], [loss0 0.35004], [lr 0.0010000000000]
[iter 80], [train loss 6.62868], [loss0 0.34812], [lr 0.0010000000000]
[iter 81], [train loss 6.62211], [loss0 0.34704], [lr 0.0010000000000]
[iter 82], [train loss 6.61375], [loss0 0.34510], [lr 0.0010000000000]
[iter 83], [train loss 6.60421], [loss0 0.34453], [lr 0.0010000000000]
[iter 84], [train loss 6.59375], [loss0 0.34228], [lr 0.0010000000000]
[iter 85], [train loss 6.58753], [loss0 0.34091], [lr 0.0010000000000]
[iter 86], [train loss 6.57432], [loss0 0.33862], [lr 0.0010000000000]
[iter 87], [train loss 6.56316], [loss0 0.33732], [lr 0.0010000000000]
[iter 88], [train loss 6.55236], [loss0 0.33529], [lr 0.0010000000000]
[iter 89], [train loss 6.53849], [loss0 0.33284], [lr 0.0010000000000]
[iter 90], [train loss 6.53586], [loss0 0.33441], [lr 0.0010000000000]
[iter 91], [train loss 6.52552], [loss0 0.33257], [lr 0.0010000000000]
[iter 92], [train loss 6.51216], [loss0 0.33116], [lr 0.0010000000000]
[iter 93], [train loss 6.49607], [loss0 0.32924], [lr 0.0010000000000]
[iter 94], [train loss 6.49028], [loss0 0.32752], [lr 0.0010000000000]
[iter 95], [train loss 6.47876], [loss0 0.32682], [lr 0.0010000000000]
[iter 96], [train loss 6.47200], [loss0 0.32470], [lr 0.0010000000000]
[iter 97], [train loss 6.46097], [loss0 0.32242], [lr 0.0010000000000]
[iter 98], [train loss 6.44843], [loss0 0.32031], [lr 0.0010000000000]
[iter 99], [train loss 6.44592], [loss0 0.32125], [lr 0.0010000000000]
[iter 100], [train loss 6.43145], [loss0 0.31887], [lr 0.0010000000000]
[iter 101], [train loss 6.42538], [loss0 0.31710], [lr 0.0010000000000]
